ObjectName;AdmArea;District;Address
Парк, озелененная городская территория «Лианозовский парк культуры и отдыха»;Северо-Восточный административный округ;район Лианозово;Угличская улица, дом 13
Парк, озелененная городская территория «Красная Пахра»;Троицкий административный округ;поселение Краснопахорское;село Былово, дом 3
Парк у прудов «Радуга»;Восточный административный округ;район Вешняки;Вешняковская улица, дом 16
Парк «Гольяново»;Восточный административный округ;район Гольяново;Алтайская улица, дом 4
Государственный историко-архитектурный, художественный и ландшафтный музей-заповедник «Царицыно»;Южный административный округ;район Бирюлёво Восточное;Дольская улица, дом 1
Дворовая территория;Северо-Восточный административный округ;район Отрадное;Алтуфьевское шоссе, дом 20А
Парк (озелененная городская территория);Северный административный округ;Головинский район;1-й Лихачёвский переулок, дом 4, корпус 2А
Природный исторический парк «Покровское Стрешнево»;Северо-Западный административный округ;район Покровское-Стрешнево;Иваньковское шоссе, дом 6
Парк народный;Северо-Восточный административный округ;район Отрадное;Юрловский проезд, дом 8, строение 1
Парк народный;Центральный административный округ;Басманный район;улица Покровка, дом 48, строение 1
Спортивный комплекс учреждения социальной защиты населения «Солнечный круг»;Восточный административный округ;район Восточное Измайлово;16-я Парковая улица, дом 4
Парк имени Герцена;Южный административный округ;район Бирюлёво Восточное;Загорьевский проезд, дом 4
Парк народный «Ивановские пруды»;Восточный административный округ;район Ивановское;улица Сталеваров, дом 4, корпус 4
Парк, озелененная городская территория «Ручеек»;Новомосковский административный округ;поселение Марушкинское;деревня Марушкино, улица Липовая Аллея, дом 5
Парк (особо охраняемая природная территория);Южный административный округ;район Бирюлёво Восточное;Липецкая улица, дом 26
Парк «Никулино»;Западный административный округ;район Тропарёво-Никулино;проспект Вернадского, дом 86Д
Парк, озелененная городская территория;Юго-Восточный административный округ;Южнопортовый район;2-й Южнопортовый проезд, дом 15
Природно-исторический парк «Кузьминки-Люблино»;Юго-Восточный административный округ;район Выхино-Жулебино;улица Заречье, владение 14
Сквер по Ракетному бульвару;Северо-Восточный административный округ;Алексеевский район;Ракетный бульвар, дом 8
Сквер по Олонецкому проезду;Северо-Восточный административный округ;район Северное Медведково;Олонецкий проезд, дом 20
Народный парк «Парк на набережной в Печатниках»;Юго-Восточный административный округ;район Печатники;улица Гурьянова, дом 83, строение 13
Сквер по Олонецкому проезду;Северо-Восточный административный округ;Бабушкинский район;Олонецкий проезд, дом 20
Парк, озелененная городская территория «Природно-исторический парк «Москворецкий»»;Западный административный округ;район Крылатское;Крылатская улица, дом 28
Сквер по Олонецкому проезду;Северо-Восточный административный округ;район Южное Медведково;Олонецкий проезд, дом 20
Природный заказник «Долина реки Сетунь»;Западный административный округ;район Фили-Давыдково;Кременчугская улица, дом 36
Парк, озелененная городская территория «Ростокинский акведук»;Северо-Восточный административный округ;район Ростокино;улица Бажова, дом 2
Бассейн плавательный «Радужный»;Западный административный округ;район Ново-Переделкино;Чоботовская улица, дом 4
