Магазин;Творог;Гречка;Рис;Бородинский хлеб;Яблоки;Пельмени;Овсяное печенье;Спагетти;Печеная фасоль;Мороженое;Фарш;Вареники;Картофель;Батончик
Пятерочка;69;133;129;83;141;90;72;123;149;89;88;106;54;84
Магнит;102;87;95;75;109;112;97;82;101;134;69;61;141;79
Перекресток;138;147;80;93;62;90;69;72;96;118;75;138;105;130
Ашан;126;111;74;121;125;137;106;113;94;82;53;80;141;137
Лента;91;114;105;64;83;52;74;86;89;62;58;149;113;98
МЕТРО;146;133;51;87;54;107;80;101;133;146;58;60;149;71
Дикси;136;137;143;85;96;131;131;111;91;70;148;50;81;125
Азбука вкуса;98;85;131;116;98;135;129;53;145;75;117;62;116;105
Billa;128;70;72;130;91;66;90;146;105;87;148;96;134;83
Эдельвейс;86;115;69;66;63;112;128;136;138;117;62;104;114;57
Авоська;116;55;143;105;88;59;93;148;67;62;149;146;52;62
ВкусВилл;79;89;98;106;110;106;135;141;95;136;57;134;106;64
Fix Price;100;54;55;88;113;71;122;102;58;66;144;98;73;120
Аллея;145;73;71;138;90;50;54;58;139;127;136;96;108;141
Верный;134;140;118;105;79;80;127;65;53;69;68;91;106;67
Карусель;66;63;88;125;148;69;112;105;63;147;73;69;74;98
