name;old_price;new_price
Встраиваемая посудомоечная машина De'Longhi DDW 06S;23089;31862
Вытяжка Falmec Afrodite 60/600;27694;18001
Духовой шкаф AEG BS 5836600;137564;105924
Вытяжка MAUNFELD PLYM 60;25072;22314
Кухонная мойка Alveus Line 80;5758;8349
Вытяжка Franke FMY 908 POT;73150;105336
Миксер Winner WR-261;713;791
Сушка для обуви Timson 2432;2959;3787
Весы Ladomir HA301;820;1115
Весы Momert 7462;935;532
Кухонная мойка Blanco Classic Pro 5 S-IF;30081;23162
Швейная машина, оверлок Veritas Victoria;12232;15534
Вакуумный упаковщик Hurakan HKN-V300;5848;4035
Вытяжка Best K 24 PU 60;9687;11818
Морозильная камера Frostor F2000B;81785;64610
Кофеварка De'Longhi EN 470;38552;55514
Электрочайник Redmond RK-G151;2189;2473
Вытяжка Bosch DWW 07W850;13959;20240
Холодильник Atlant XM-4210;14142;11596
Кухонная мойка Ulgran U-504;5621;6407
Стиральная машина Bosch WLK 20263;23540;17419
Водонагреватель Electrolux EWH Basic [EWH 80 Basic];18359;25335
Швейная машина, оверлок Toyota JET B 224;14905;11924
Весы Mystery MES-1805;1375;962
Вытяжка Korting KHC 6675;12355;18161
Духовой шкаф Gorenje BO 658 ST;46739;65434
Вытяжка MAUNFELD BLAST 90;24737;37105
Пылесос Black&Decker DV 9610;3993;5789
Винный шкаф Caso WineMaster 38;73150;54862
Весы Brabantia 481109;7689;9380
Вытяжка Franke FTC 612;8877;10741
Варочная поверхность Gorenje G6 N40;8558;4963
Электрическая зубная щетка Panasonic EW-DL82;6186;8969
Медицинский термометр Ramili ET3030;2189;2823
Гладильная доска Framar Vapolux-481;3949;4462
Вытяжка Kuppersberg Onda 50;9890;7417
Посудомоечная машина Electrolux ESF 7466;35517;39779
Сушильная машина Siemens WT 43W460;76890;85347
Весы Energy ENM-408;320;243
Весы Aksion BHE-31;759;1123
Стиральная машина Asko WMC64P;118800;153252
Вытяжка Pyramida WH 10-50;3848;5656
Машинка для стрижки волос Andis MBG-2  Ultra Advanced;10228;14932
Пылесос Electrolux Z 8810;20620;29280
Фен Centek CT-2234;646;562
Весы Kromax KS-516;415;581
Встраиваемый холодильник Liebherr ICS 3013;43549;25258
Холодильник Hitachi R-BG410PU6X;60445;88854
Массажер для тела Yamaguchi Axiom Matrix;9009;7207
Утюг Termozeta Super Comfort 1000;46200;66066
Варочная поверхность Neff N 74TD00N0;86889;60822
Духовой шкаф Smeg SF99;50787;35550
Миксер Gemlux GL-SM6.8GR;7763;8772
Вытяжка Korting KHC 6956;13191;7914
Плита Gorenje EC 52120;20240;22466
Варочная поверхность Smeg SR775OT;42863;38148
Вытяжка Cata TF 5250;4830;3284
Стиральная машина Miele WMV 960 WPS;208890;123245
Электрочайник Bugatti VERA;24079;19744
Вытяжка Zigmund&Shtain K 002.51;6263;9269
Весы Beurer KS19;1210;1790
Вытяжка Elica Wave F/51;55487;71578
Вытяжка Falmec Liberty 85/800 Isola;117810;159043
Стиральная машина Bosch WAW 24440;44364;38153
Вытяжка Kuppersberg SlimLux 60;7285;8960
Тостер Velikie Reki Pyshka-8;1122;964
Пылесос Karcher CV 38/2;35200;24287
Вакуумный упаковщик Rommelsbacher VAC 155;7821;4145
Швейная машина, оверлок Jaguar EL-109;5170;3205
Встраиваемая посудомоечная машина Electrolux ESL 8820;68200;49104
Стиральная машина Whirlpool AWOC 8100;34199;25649
Духовой шкаф Siemens HB 56LS552;55418;43226
Стиральная машина Gorenje MV 75Z43;22495;29918
Духовой шкаф Kuppersberg HA 663;31350;46398
Фен Atlanta ATH-882;437;275
Весы Gelberk GL-250;474;601
Весы Beurer BF480;2310;2055
Духовой шкаф Fornelli FE 60 Universo;20779;25350
Маникюрный набор Bradex KZ 0424;383;482
Электрочайник Polaris PWK 1575CL;1089;1437
Электродуховка Simfer M4597;14421;20766
Вытяжка Kuppersbusch KD 6210.2 E;44441;39552
Вытяжка DACH TIFANI 50;13585;7200
Водонагреватель Thermex ID [ID-50 V];12551;18826
Утюг Philips Azur Advanced GC 4939;12089;7253
Водонагреватель Drazice OKC 1m2 [OKC 125/1m2];26169;35589
Кухонный комбайн First FA-5113;1537;1260
Электрочайник Vitek VT-1180;3546;4184
Тостер Velikie Reki Kuban-5;924;1071
Сушильная машина Siemens WT 45M260;50380;74058
Стиральная машина Samsung WF1600WRW;65219;91306
Электрочайник Maxwell MW-1014;904;804
Пылесос Karcher SE 4001;14729;9131
Вытяжка Elica Empty Sky Sense F/120;287089;252638
Хлебопечка MAXIMA MBM-0219;6149;3996
Кофеварка Maxwell MW-1657;973;651
Швейная машина, оверлок Brother Universal 17;6231;8224
Встраиваемая микроволновая печь Kuppersbusch EMWGL 3260.0;66911;92337
Картридж для воды Novaya Voda K255;3993;4711
Машинка для стрижки волос Irit IR-3350;350;475
Варочная поверхность Teka VR TC 95 4I;81510;66023
Вытяжка Cata Thalassa 900;29432;33846
Весы Caso Body Solar;2706;2002
Весы Maxwell MW-1452;910;1101
Электрочайник Panasonic  NC-GK1WTQ;2816;3351
Вытяжка Kuppersberg SlimLux II 60;8787;10192
Электродуховка Simfer M3510;4246;5349
Весы Sakura SA-6054;667;960
Эпилятор Braun SE 9941;8750;4550
Весы Sanitas SGS43;2530;1796
Холодильник Liebherr KBbs 4350;125602;169562
Встраиваемая посудомоечная машина Electrolux ESI 7510;40260;28182
Кулер для воды HotFrost V127B;18139;10157
Встраиваемая пароварка Beltratto VFMC 4500N;43868;56151
Фен Philips BHB 868;2748;2225
Швейная машина, оверлок Janome MC 1530;28589;36308
Мясорубка Zelmer 987.83;15169;8494
Кухонный комбайн Gemlux GL-SM4.5G;8721;7325
Весы Smile KSE 3269;554;786
Плита Beko CSG 62000;13400;11524
