year,1-А,1-Б,2-А,2-Б,2-В,2-Г,3-А,3-Б,3-В,3-Г,4-А,5-А,5-Б,6-А,6-Б,7-А,7-Б,7-В,8-А,8-Б,8-В,8-Г,9-А,10-А,11-А,11-Б,11-В
2000,22,17,29,20,28,29,29,15,29,26,27,27,19,26,30,19,19,19,18,27,15,27,20,16,22,18,23
2001,22,20,20,27,20,19,27,30,22,24,30,29,21,24,30,19,26,23,22,30,30,29,18,23,21,25,22
2002,18,21,19,30,17,16,29,27,26,29,23,15,19,29,27,25,30,18,27,24,25,24,20,16,22,29,28
2003,29,24,21,26,24,23,20,16,30,22,16,25,30,27,29,28,19,15,20,21,29,17,21,17,29,25,28
2004,23,18,28,18,15,21,28,17,22,20,21,18,21,26,19,17,22,24,24,24,25,29,19,27,22,29,17
2005,20,28,15,20,18,19,17,15,25,27,17,18,20,21,25,17,21,30,16,24,17,21,22,22,16,21,21
2006,24,28,29,21,17,18,15,19,18,27,26,22,25,24,24,20,25,23,21,26,19,18,30,16,26,27,24
2007,30,20,26,28,29,15,17,21,27,25,18,28,18,17,17,16,23,17,17,26,29,29,17,26,28,20,19
2008,16,23,24,27,26,15,25,27,25,20,21,26,30,23,19,15,18,18,20,27,27,28,24,18,22,20,20
2009,27,19,24,30,24,27,16,28,28,27,28,28,30,25,25,19,16,26,21,29,26,25,29,25,25,25,29
2010,16,26,25,27,20,19,28,30,19,24,30,20,22,23,24,27,15,28,18,16,18,21,17,20,28,26,21
2011,16,21,18,16,22,28,20,15,22,17,30,19,23,15,21,24,25,27,18,17,24,26,16,20,27,26,28
2012,17,18,30,20,22,27,27,16,22,25,18,16,29,30,20,17,17,30,17,26,29,16,21,20,16,29,26
2013,21,24,18,25,22,16,23,22,22,20,15,19,22,27,23,22,27,15,17,20,28,19,22,22,15,17,23
2014,17,29,27,15,19,26,16,20,21,15,15,18,22,26,22,30,21,17,25,25,17,17,24,28,15,16,27
2015,27,24,18,20,19,22,26,25,15,26,21,29,24,23,16,24,27,22,25,20,24,19,15,20,15,22,16
2016,18,16,25,24,17,21,22,20,19,23,20,15,26,26,23,25,18,23,23,17,17,28,22,21,28,24,25
2017,16,19,18,27,30,22,26,25,29,24,27,16,17,29,19,25,24,26,22,25,20,25,23,21,21,23,19
2018,27,26,24,29,29,23,23,17,17,29,15,23,26,26,29,25,23,29,23,29,18,25,25,20,25,18,20
2019,20,20,18,25,18,28,23,15,22,15,26,23,19,29,19,15,15,30,18,30,18,24,24,30,28,18,27
2020,16,26,15,19,23,16,19,30,29,30,23,24,26,21,26,19,17,16,15,23,15,20,23,28,16,16,29
2021,27,29,23,20,30,29,21,15,18,22,29,26,19,30,25,25,20,27,19,22,25,21,19,22,22,18,23
